Charge Point ID,Serial,Site,Make,Lat,Lon
60275,EM4072B-3,Dukinfield Town Hall,Elektromotive,53.46942,-2.08962
60276,EM3729A-1,Rassbottom Street Car Park,Elektromotive,53.48465,-2.0622
60277,EM3729B-3,Rassbottom Street Car Park,Elektromotive,53.48465,-2.0622
60278,3888A,Wigan Council Depot,Elektromotive,53.54544,-2.637674
60279,3888B,Wigan Council Depot,Elektromotive,53.54544,-2.637774
60280,EM3992A-1,Heaton Lane Multi Storey,Elektromotive,53.40961,-2.16537
60281,EM3992B-3,Heaton Lane Multi Storey,Elektromotive,53.40961,-2.16537
60282,EM4150A-1,"University of Manchester, Ground Floor, Booth Street West car park (car Park D)",Elektromotive,53.46593,-2.23754
60283,EM4150B-3,"University of Manchester, Ground Floor, Booth Street West Car Park (Car Park D)",Elektromotive,53.46593,-2.23754
60284,EM4161A-1,"University of Manchester, Ground Floor, Booth Street West car park (car park D)",Elektromotive,53.46593,-2.23754
60285,EM4161B-3,"University of Manchester, Ground Floor, Booth Street West Car Park (Car Park D)",Elektromotive,53.46593,-2.23754
60286,EM4151B-3,The Royal Oldham Hospital,Elektromotive,53.55333,-2.12078
60287,EM4151A-1,The Royal Oldham Hospital,Elektromotive,53.55333,-2.12078
60290,EM3730A-1,Browncross Street,Elektromotive,53.48295,-2.25319
60291,EM3730B-3,Browncross Street,Elektromotive,53.483,-2.25319
60292,EM3719A-1,Browncross Street,Elektromotive,53.4831,-2.25319
60293,EM3719B-3,Browncross Street,Elektromotive,53.4832,-2.25319
60298,EM4172A-1,Fairfield Hospital,Elektromotive,53.60106,-2.25665
60299,EM4172B-3,Fairfield Hospital,Elektromotive,53.60106,-2.25665
60306,EM4157A-1,Cheadle Royal Business Park,Elektromotive,53.37711,-2.22069
60307,EM4157B-3,Cheadle Royal Business Park,Elektromotive,53.37711,-2.22069
60308,EM4131B-3,Regent Road Car Park,Elektromotive,53.38678,-2.354
60309,EM4131A-1,Regent Road Car Park,Elektromotive,53.38678,-2.354
60310,3713A,Rochdale Bus Station,Elektromotive,53.617527,-2.155411
60311,3713B,Rochdale Bus Station,Elektromotive,53.617527,-2.155411
60312,EM4146A-1,East Didsbury Park and Ride,Elektromotive,53.40928,-2.22187
60313,EM4146B-3,East Didsbury Park and Ride,Elektromotive,53.40928,-2.22187
60314,EM4148A-1,North Manchester Hospital,Elektromotive,53.51921,-2.22845
60315,EM4148B-3,North Manchester Hospital,Elektromotive,53.51921,-2.22845
60316,EM4147A-1,Rochdale Infirmary,Elektromotive,53.62444,-2.16015
60317,EM4147B-3,Rochdale Infirmary,Elektromotive,53.62444,-2.16015
60318,EM4119A-1,Blackfriars Street,Elektromotive,53.48414,-2.24823
60319,EM4119B-3,Blackfriars Street,Elektromotive,53.48424,-2.24823
60320,EM4120A-1,Monton Road Car Park,Elektromotive,53.49148,-2.35111
60321,EM4120B-3,Monton Road Car Park,Elektromotive,53.49158,-2.35111
60322,EM4156A-1,Merchants Quay,Elektromotive,53.46898,-2.28617
60323,EM4156B-3,Merchants Quay,Elektromotive,53.46898,-2.28617
60324,EM4173A-1,Ashton Moss Tram Station,Elektromotive,53.4861,-2.11883
60325,EM4173B-3,Ashton Moss Tram Station,Elektromotive,53.4861,-2.11883
60326,4121A,Abraham Moss,Elektromotive,53.511722,-2.236437
60327,4121B,Abraham Moss,Elektromotive,53.511722,-2.236537
60328,EM4117A-1,Manchester Regional Tennis Centre,Elektromotive,53.48638,-2.20174
60329,EM4117B-3,Manchester Regional Tennis Centre,Elektromotive,53.48638,-2.20174
60330,4158A,Belvedere Buildings,Elektromotive,53.47978,-2.2425
60331,4158B,Belvedere Buildings,Elektromotive,53.47978,-2.2425
